product_id,total_sum,category,cumulative_revenue,cumulative_revenue_percentage,cumulative_products_percentage
bb50f2e236e5eea0100680137654686c,63885.0,HEALTH BEAUTY,63885.0,0.47003145022050413,0.0030348092622378684
6cdd53843498f92890544667809f1595,54730.199279785156,HEALTH BEAUTY,118615.19927978516,0.8727068034072397,0.006069618524475737
d6160fb7873f184099d9bc95e30376af,48899.33996582031,PCs,167514.53924560547,1.2324818316448538,0.009104427786713606
d1c427060a0f73f6b889a5c7c61f2ac4,47214.51049041748,computer accessories,214729.04973602295,1.5798607912951963,0.012139237048951474
99a4788cb24856965c36a24e339b6058,43025.56069946289,bed table bath,257754.61043548584,1.8964197126714017,0.01517404631118934
3dd2a17168ec895c781a9191c1e95ad7,41082.59832763672,computer accessories,298837.20876312256,2.19868336252294,0.01820885557342721
25c38557cf793876c5abdd5931f922db,38907.320068359375,babies,337744.52883148193,2.4849424855709836,0.02124366483566508
5f504b3a1c75b73d6151be81eb05bdc9,37733.899963378906,Cool Stuff,375478.42879486084,2.762568214963837,0.024278474097902947
53b36df67ebb7c41585e8d54d6772e08,37683.42002105713,Watches present,413161.84881591797,3.03982254010692,0.027313283360140817
aca2eb7d00ea1a7b8ebd4e68314663af,37608.90062713623,Furniture Decoration,450770.7494430542,3.3165285916522227,0.03034809262237868
e0d64dcfaa3b6db5c54ca298ae101d05,31786.819717407227,Watches present,482557.5691604614,3.5503989050226643,0.03338290188461655
d285360f29ac7fd97640bf0baef03de0,31623.8097076416,Watches present,514181.378868103,3.7830698784652568,0.03641771114685442
7a10781637204d8d10485c71a6108a2e,30467.499603271484,Watches present,544648.8784713745,4.007233344429385,0.039452520409092286
f1c7f353075ce59d8a6f3cf58f419c9c,29997.359985351562,bed table bath,574646.2384567261,4.227937776090985,0.04248732967133016
f819f0c84a64f02d3a5606ca95edd272,29024.480072021484,Watches present,603670.7185287476,4.441484280906645,0.045522138933568025
588531f8ec37e7d5ff5b7b22ea0488f8,28291.989990234375,PCs,631962.7085189819,4.649641517890816,0.048556948195805895
422879e10f46682990de24d770e7f83d,26577.220558166504,Garden tools,658539.9290771484,4.845182404198795,0.051591757458043765
16c4e87b98a9370a9cbc3a4658a3f45b,25034.0,musical instruments,683573.9290771484,5.029369104125539,0.054626566720281634
5a848e4ab52fd5445cdc07aab1c40e48,24229.029579162598,Unknown,707802.958656311,5.207633264891435,0.0576613759825195
a62e25e09e05e6faf31d90c6ec1aa3d1,24051.0,Watches present,731853.958656311,5.384587579820658,0.06069618524475736
2b4609f8948be18874494203496bc318,22717.219451904297,HEALTH BEAUTY,754571.1781082153,5.551728655252387,0.06373099450699524
fd0065af7f09af4b82a0ca8f3eed1852,21999.889892578125,automotive,776571.0680007935,5.713592005818246,0.0667658037692331
a5215a7a9f46c4185b12f38e9ddf2abc,21739.900024414062,PCs,798310.9680252075,5.873542490847973,0.06980061303147098
bc4cd4da98dd128c39bf0b8c2674032f,21499.590087890625,PCs,819810.5581130981,6.031724904687804,0.07283542229370885
389d119b48cf3043d311335e499d9c6b,21440.590496063232,Garden tools,841251.1486091614,6.189473231281662,0.07587023155594672
368c6c730842d78016ad823897a372db,21056.80047607422,Garden tools,862307.9490852356,6.34439783744544,0.07890504081818457
461f43be3bdf8844e65b62d9ac2c7a5a,20593.219917297363,Watches present,882901.169002533,6.4959116673340995,0.08193985008042244
52c80cedd4e90108bf4fa6a206ef6b03,20495.56024169922,Garden tools,903396.7292442322,6.646706969885365,0.08497465934266032
53759a2ecddad2bb87a079a1f1519f73,20387.200454711914,Garden tools,923783.9296989441,6.79670501943791,0.08800946860489818
1dec4c88c685d5a07bf01dcb0f8bf9f8,19965.0,automotive,943748.9296989441,6.9435967452523,0.09104427786713605
6f3b5b605d91b7439c5e3f5a8dffeea7,19009.399780273438,Watches present,962758.3294792175,7.083457678907202,0.09407908712937392
19c91ef95d509ea33eda93495c4d3481,18889.439666748047,HEALTH BEAUTY,981647.7691459656,7.222436010603441,0.09711389639161179
1a080577618e7fe4d9ddd8fb2b47a964,18262.9599609375,Watches present,999910.7291069031,7.3568050417650355,0.10014870565384965
165f86fe8b799a708a20ee4ba125c289,17820.910598754883,Cool Stuff,1017731.639705658,7.487921711609016,0.10318351491608753
fb01a5fc09b9b9563c2ee41a22f07d54,16731.790283203125,Games consoles,1034463.4299888611,7.611025220282403,0.1062183241783254
e7cc48a9daff5436f63d3aad9426f28b,16216.0,telephony,1050679.429988861,7.73033382162506,0.10925313344056327
a04087ab6a96ffa041f8a2701a72b616,15785.0,PCs,1066464.429988861,7.846471356910818,0.11228794270280112
e53e557d5a159f5aa2c5e995dfdf244b,15439.250160217285,computer accessories,1081903.6801490784,7.960065050941092,0.115322751965039
601a360bd2a916ecef0e88de72a6531a,15159.810455322266,Cool Stuff,1097063.4906044006,8.071602778003518,0.11835756122727686
d5991653e037ccb7af6ed7d94246b249,15111.819580078125,computer accessories,1112175.3101844788,8.182787414032239,0.12139237048951472
470433f95ba906e17efac3fce39e9ffd,14999.449462890625,computer accessories,1127174.7596473694,8.293145291210788,0.12442717975175262
c4baedd846ed09b85f78a781b522f126,14989.029792785645,Garden tools,1142163.789440155,8.403426506064061,0.12746198901399047
431d674f9a4fbd0957ecf6ba3fcb6899,14818.429748535156,telephony,1156982.2191886902,8.512452537600332,0.13049679827622834
7814c273ab16783d73a9863ebfa8b141,14772.0,Furniture Decoration,1171754.2191886902,8.621136964033099,0.1335316075384662
87feb07adc221a4c6cdf051ea1afd0ff,14770.0,ELECTRICES 2,1186524.2191886902,8.729806675542166,0.13656641680070408
f49e985b4cb2d0543890d6dd00077663,14590.0,HOUSE PASTALS OVEN AND CAFE,1201114.2191886902,8.837152043918424,0.13960122606294195
8c591ab0ca519558779df02023177f44,14492.139831542969,Garden tools,1215606.3590202332,8.943777409838725,0.1426360353251798
35afc973633aaeb6b877ff57b2793310,14484.890243530273,House comfort,1230091.2492637634,9.050349437191803,0.1456708445874177
af51d485dc5255ba2e18b21b550156e6,14483.309768676758,Bags Accessories,1244574.5590324402,9.156909836261443,0.14870565384965556
8c292ca193d326152e335d77176746f0,14139.0,HEALTH BEAUTY,1258713.5590324402,9.26093698934382,0.15174046311189343
7c1bd920dbdf22470b68bde975dd3ccf,13866.69021987915,HEALTH BEAUTY,1272580.2492523193,9.36296063360786,0.1547752723741313
4aa6014eceb682077f9dc4bffebc05b0,13685.709716796875,housewares,1286265.9589691162,9.46365272072507,0.15781008163636914
bee2e070c39f3dd2f6883a17a5f0da45,13680.0,computer accessories,1299945.9589691162,9.564302798818778,0.160844890898607
a02d0123079f4ae96001ba2010d1a2df,13550.0,Construction Tools Illumination,1313495.9589691162,9.663996406872121,0.16387970016084488
5769ef0a239114ac3a854af00df129e4,13440.0,fixed telephony,1326935.9589691162,9.76288069412208,0.16691450942308275
0433830caca22b01a0f477d31307b043,13193.0,HOUSE PASTALS OVEN AND CAFE,1340128.9589691162,9.859947688295346,0.16994931868532065
f4f67ccaece962d013a4e1d7dc3a61f7,13139.79995727539,automotive,1353268.7589263916,9.956623265183902,0.1729841279475585
13db47eae724e2848e12b71a617a3a41,12992.649841308594,audio,1366261.4087677002,10.052216190708165,0.17601893720979636
8ed094bfe076c568f6bb10feada3f75d,12947.08984375,Furniture office,1379208.4986114502,10.14747391028855,0.17905374647203423
ee406bf28024d97771c4b1e8b7e8e219,12914.100494384766,Cool Stuff,1392122.599105835,10.24248891198956,0.1820885557342721
4fcb3d9a5f4871e8362dfedbdb02b064,12819.300262451172,automotive,1404941.8993682861,10.336806424600846,0.18512336499650997
44fc450365728c413fefc547592626be,12788.0,electrostile,1417729.8993682861,10.430893646725286,0.18815817425874784
595fac2a385ac33a80bd5114aec74eb8,12636.90005493164,perfumery,1430366.7994232178,10.523869156768505,0.1911929835209857
25292482a61cb3298df8dbe15ea69daf,12546.500244140625,HEALTH BEAUTY,1442913.2996673584,10.616179553652676,0.19422779278322358
4298b7e67dc399c200662b569563a2b2,12479.699821472168,computer accessories,1455392.9994888306,10.707998468975571,0.19726260204546145
656e0eca68dcecf6a31b8ececfabe3e8,12477.600212097168,computer accessories,1467870.5997009277,10.799801936502593,0.2002974113076993
a92930c327948861c015c919a0bcb4a8,12475.0,Watches present,1480345.5997009277,10.891586273068308,0.2033322205699372
e4d325bd1eea550509bdbbc5c3301fc1,12086.259857177734,perfumery,1492431.8595581055,10.980510468864054,0.20636702983217506
dc404a1496a08f9f5540c8b5d4b92925,11961.399688720703,toys,1504393.2592468262,11.06851601073392,0.2094018390944129
0a57f7d2c983bcf8188589a5fea4a8da,11907.19994354248,Watches present,1516300.4591903687,11.156122780046415,0.2124366483566508
5237739bb5fee495dbd337755a138660,11885.049987792969,Watches present,1528185.5091781616,11.243566581904528,0.21547145761888864
c6dd917a0be2a704582055949915ab32,11868.41975402832,Cool Stuff,1540053.92893219,11.330888027452177,0.21850626688112654
