product_id,product_category_name,total_revenue,total_orders,avg_revenue_per_order
aca2eb7d00ea1a7b8ebd4e68314663af,Furniture Decoration,37608.9,527,71.36413662239089
99a4788cb24856965c36a24e339b6058,bed table bath,43025.560000000005,488,88.167131147541
422879e10f46682990de24d770e7f83d,Garden tools,26577.22,484,54.911611570247935
389d119b48cf3043d311335e499d9c6b,Garden tools,21440.59,392,54.69538265306122
368c6c730842d78016ad823897a372db,Garden tools,21056.8,388,54.2701030927835
53759a2ecddad2bb87a079a1f1519f73,Garden tools,20387.2,373,54.657372654155495
d1c427060a0f73f6b889a5c7c61f2ac4,computer accessories,47214.51,343,137.65163265306123
53b36df67ebb7c41585e8d54d6772e08,Watches present,37683.42,323,116.66693498452013
154e7e31ebfa092203795c972e5804a6,HEALTH BEAUTY,6325.19,281,22.509572953736654
2b4609f8948be18874494203496bc318,HEALTH BEAUTY,22717.219999999998,260,87.37392307692306
